taskID  subjectID  prediction   mu     numLeft    numRight  signal  reactionTime
T531b        10        1        50        30        10        blue        22
T345b        10        3        30        40        50        blue        5
T416b        10        4        40        10        60        blue        6
T485r        10        15        40        80        50        red        64
T718b        10        70        70        10        80        blue        10
T526b        10        5        50        20        60        blue        5
T594r        10        5        50        90        40        red        6
T295r        10        2        20        90        50        red        12
T593b        10        50        50        90        30        blue        9
T485b        10        60        40        80        50        blue        9
T264r        10        20        20        60        40        red        12
T219b        10        10        20        10        90        blue        25
T391b        10        15        30        90        10        blue        7
T526r        10        50        50        20        60        red        6
T245b        10        10        20        40        50        blue        12
T812r        10        10        80        10        20        red        55
T216b        10        20        20        10        60        blue        17
